"h48.45vsD","h48.30vsD and h48.45vsD","h24.45vsD and h48.45vsD","h24.30vsD and h48.45vsD","h8.45vsD and h48.45vsD","h8.30vsD and h48.45vsD","h48.45vsD and h48.30vsD","h48.30vsD","h24.45vsD and h48.30vsD","h24.30vsD and h48.30vsD","h8.45vsD and h48.30vsD","h8.30vsD and h48.30vsD","h48.45vsD and h24.45vsD","h48.30vsD and h24.45vsD","h24.45vsD","h24.30vsD and h24.45vsD","h8.45vsD and h24.45vsD","h8.30vsD and h24.45vsD","h48.45vsD and h24.30vsD","h48.30vsD and h24.30vsD","h24.45vsD and h24.30vsD","h24.30vsD","h8.45vsD and h24.30vsD","h8.30vsD and h24.30vsD","h48.45vsD and h8.45vsD","h48.30vsD and h8.45vsD","h24.45vsD and h8.45vsD","h24.30vsD and h8.45vsD","h8.45vsD","h8.30vsD and h8.45vsD","h48.45vsD and h8.30vsD","h48.30vsD and h8.30vsD","h24.45vsD and h8.30vsD","h24.30vsD and h8.30vsD","h8.45vsD and h8.30vsD","h8.30vsD","h48.30vsD but not h48.45vsD","h24.45vsD but not h48.45vsD","h24.30vsD but not h48.45vsD","h8.45vsD but not h48.45vsD","h8.30vsD but not h48.45vsD","h48.45vsD but not h48.30vsD","h24.45vsD but not h48.30vsD","h24.30vsD but not h48.30vsD","h8.45vsD but not h48.30vsD","h8.30vsD but not h48.30vsD","h48.45vsD but not h24.45vsD","h48.30vsD but not h24.45vsD","h24.30vsD but not h24.45vsD","h8.45vsD but not h24.45vsD","h8.30vsD but not h24.45vsD","h48.45vsD but not h24.30vsD","h48.30vsD but not h24.30vsD","h24.45vsD but not h24.30vsD","h8.45vsD but not h24.30vsD","h8.30vsD but not h24.30vsD","h48.45vsD but not h8.45vsD","h48.30vsD but not h8.45vsD","h24.45vsD but not h8.45vsD","h24.30vsD but not h8.45vsD","h8.30vsD but not h8.45vsD","h48.45vsD but not h8.30vsD","h48.30vsD but not h8.30vsD","h24.45vsD but not h8.30vsD","h24.30vsD but not h8.30vsD","h8.45vsD but not h8.30vsD"
"LARP6","SPPL2B","SPATS2L","","","","SPPL2B","SDHD","","","","","SPATS2L","","MBIP","","","","","","","","","","","","","","","","","","","","","","","","","","","TXNDC17","SLC8A1","","","","TYRO3","","","","","LPGAT1","SPA17","MPP2","","","LRSAM1","STAG2","MTMR14","","","LBR","SEPTIN7","MCM3","",""
"LARP7","SQLE","SPC25","","","","SQLE","SDSL","","","","","SPC25","","MBNL1","","","","","","","","","","","","","","","","","","","","","","","","","","","TXNL4A","SLC9A6","","","","TYSND1","","","","","LPIN1","SPAG7","MPST","","","LTB4R","STARD10","MTX3","","","LCN2","SERBP1","MCM4","",""
"LAS1L","SRC","SPDL1","","","","SRC","SEC23IP","","","","","SPDL1","","MBNL1-AS1","","","","","","","","","","","","","","","","","","","","","","","","","","","TXNL4B","SLCO4A1","","","","TYW3","","","","","LPXN","SPATA2","MRI1","","","LTB4R2","STARD3","MUTYH","","","LDAH","SERINC2","MCM5","",""
"LASP1","SRRT","SPECC1L","","","","SRRT","SEL1L","","","","","SPECC1L","","MC1R","","","","","","","","","","","","","","","","","","","","","","","","","","","U2AF2","SLFN12","","","","U2AF1L4","","","","","LRATD2","SPATS2L","MRNIP","","","LTBP1","STARD4","MVD","","","LDHA","SERPINB6","MCM6","",""
"LATS1","SRSF1","SPIN3","","","","SRSF1","SEL1L3","","","","","SPIN3","","MCFD2","","","","","","","","","","","","","","","","","","","","","","","","","","","UACA","SLFN5","","","","U2SURP","","","","","LRIF1","SPC25","MRPL11","","","LTBR","STAT2","MVK","","","LDHB","SERPINE2","MCRIP1","",""
"LBH","SRSF10","SPIRE1","","","","SRSF10","SELENOK","","","","","SPIRE1","","MCM10","","","","","","","","","","","","","","","","","","","","","","","","","","","UBA1","SMAD7","","","","UACA","","","","","LRMDA","SPCS3","MRPL13","","","LTV1","STAT5A","MXD1","","","LDLR","SERPINH1","MCTS1","",""
"LBR","SRSF11","SPSB1","","","","SRSF11","SELENON","","","","","SPSB1","","MCM3","","","","","","","","","","","","","","","","","","","","","","","","","","","UBAC1","SMARCA2","","","","UBE2A","","","","","LRP1","SPDL1","MRPL16","","","LUC7L","STEAP4","MXD3","","","LDLRAD3","SESN2","MDC1","",""
"LCN2","SRSF2","SPTLC3","","","","SRSF2","SEPTIN7","","","","","SPTLC3","","MCM4","","","","","","","","","","","","","","","","","","","","","","","","","","","UBE2A","SMARCA5","","","","UBE2D3","","","","","LRP10","SPECC1L","MRPL20","","","LUC7L2","STIM1","MXD4","","","LDOC1","SETD7","MDFI","",""
"LDAH","SRSF3","SQLE","","","","SRSF3","SERBP1","","","","","SQLE","","MCM5","","","","","","","","","","","","","","","","","","","","","","","","","","","UBE2E3","SMC2","","","","UBE2E3","","","","","LRP8","SPIRE1","MRPL27","","","LUCAT1","STIP1","MXI1","","","LEO1","SEZ6L2","MDH1","",""
"LDHA","SRSF7","SQSTM1","","","","SRSF7","SERINC2","","","","","SQSTM1","","MCM6","","","","","","","","","","","","","","","","","","","","","","","","","","","UBE2M","SMG7-AS1","","","","UBE2M","","","","","LRRC17","SPPL2B","MRPL30","","","LY75","STOM","MYB","","","LEPR","SF3A1","MDM4","",""
"LDHB","SRXN1","SRC","","","","SRXN1","SERPINB6","","","","","SRC","","MCRIP1","","","","","","","","","","","","","","","","","","","","","","","","","","","UBE2Q1","SMO","","","","UBE2Q1","","","","","LRRC20","SPRED2","MRPL35","","","LY75-CD302","STON1","MYCBP","","","LETMD1","SF3B1","ME1","",""
"LDLR","SSB","SRCIN1","","","","SSB","SERPINE2","","","","","SRCIN1","","MCTS1","","","","","","","","","","","","","","","","","","","","","","","","","","","UBE2S","SMOX","","","","UBE2S","","","","","LRRC61","SPTY2D1","MRPL44","","","LYN","STRN4","MYCL","","","LFNG","SF3B5","ME2","",""
"LDLRAD3","SSBP1","SRGAP1","","","","SSBP1","SERPINH1","","","","","SRGAP1","","MDC1","","","","","","","","","","","","","","","","","","","","","","","","","","","UBE2T","SMPD4","","","","UBL5","","","","","LRRC8D","SQLE","MRPL49","","","LYPD6B","STT3B","MYEOV","","","LGALS1","SFPQ","MED1","",""
"LDOC1","SSC4D","SRRT","","","","SSC4D","SESN2","","","","","SRRT","","MDFI","","","","","","","","","","","","","","","","","","","","","","","","","","","UBL5","SNCB","","","","UBLCP1","","","","","LRRCC1","SRC","MRPL50","","","LYRM2","STX11","MYH10","","","LGALS7","SFRP1","MED28","",""
"LEO1","SSNA1","SRSF1","","","","SSNA1","SETD7","","","","","SRSF1","","MDH1","","","","","","","","","","","","","","","","","","","","","","","","","","","UBLCP1","SND1","","","","UBP1","","","","","LRRK1","SRSF1","MRPL58","","","LZTS3","STX16","MYL6","","","LGR4","SGO2","MED31","",""
"LEPR","ST8SIA4","SRSF10","","","","ST8SIA4","SEZ6L2","","","","","SRSF10","","MDM4","","","","","","","","","","","","","","","","","","","","","","","","","","","UBP1","SNHG11","","","","UBQLN1","","","","","LRRTM1","SRSF10","MRPS10","","","MACROD1","STX7","MYO18A","","","LHFPL6","SGSM2","MED4","",""
"LETMD1","STAG1","SRSF2","","","","STAG1","SF3A1","","","","","SRSF2","","ME1","","","","","","","","","","","","","","","","","","","","","","","","","","","UBR1","SNHG15","","","","UBR1","","","","","LRSAM1","SRSF11","MRPS14","","","MAD2L1","STXBP4","MYO1D","","","LHX6","SH2B1","MED6","",""
"LFNG","STAG2","SRSF3","","","","STAG2","SF3B1","","","","","SRSF3","","ME2","","","","","","","","","","","","","","","","","","","","","","","","","","","UBTF","SNHG16","","","","UBR4","","","","","LTB4R","SRSF2","MRTFA","","","MAFF","STXBP6","MYO3B","","","LIG3","SHFL","MED8","",""
"LGALS1","STARD10","SRSF6","","","","STARD10","SF3B5","","","","","SRSF6","","MED1","","","","","","","","","","","","","","","","","","","","","","","","","","","UBXN11","SNHG17","","","","UBTF","","","","","LTB4R2","SRSF3","MSC-AS1","","","MAFG","SUB1","MYRF","","","LIME1","SHISA5","MEF2A","",""
"LGALS7","STARD3","SRSF7","","","","STARD3","SFPQ","","","","","SRSF7","","MED28","","","","","","","","","","","","","","","","","","","","","","","","","","","UBXN6","SNHG7","","","","UBXN11","","","","","LTBP1","SRSF7","MSH2","","","MAGED1","SUCLG1","MZT1","","","LIMS2","SHISA9","MEF2D","",""
"LGR4","STARD4","SRXN1","","","","STARD4","SFRP1","","","","","SRXN1","","MED31","","","","","","","","","","","","","","","","","","","","","","","","","","","UCA1","SNHG8","","","","UBXN6","","","","","LTBR","SSB","MSH6","","","MAL","SUGT1","NAA15","","","LIN37","SHLD2","MEIS1","",""
"LHFPL6","STAT2","SSB","","","","STAT2","SGO2","","","","","SSB","","MED4","","","","","","","","","","","","","","","","","","","","","","","","","","","UGT2B7","SNIP1","","","","UCA1","","","","","LTV1","SSBP1","MSI2","","","MAL2","SULF1","NAA16","","","LINC00052","SHMT2","MEIS2","",""
"LHX6","STAT5A","ST13","","","","STAT5A","SGSM2","","","","","ST13","","MED6","","","","","","","","","","","","","","","","","","","","","","","","","","","UGT3A2","SNRNP40","","","","UGGT2","","","","","LUC7L","SSC4D","MSMO1","","","MALAT1","SUN2","NADK","","","LINC00662","SHQ1","MELK","",""
"LIG3","STC2","ST14","","","","STC2","SH2B1","","","","","ST14","","MED8","","","","","","","","","","","","","","","","","","","","","","","","","","","ULBP2","SNTB2","","","","UGP2","","","","","LUC7L2","SSNA1","MTA1","","","MALSU1","SUPT7L","NADK2","","","LINC00665","SIAH2","MEN1","",""
"LIME1","STIM1","ST6GAL2","","","","STIM1","SHFL","","","","","ST6GAL2","","MEF2A","","","","","","","","","","","","","","","","","","","","","","","","","","","ULK4","SNX15","","","","UGT3A2","","","","","LUCAT1","ST8SIA4","MTATP6P1","","","MAMDC2","SURF4","NAMPT","","","LINC00869","SIGIRR","MEOX1","",""
"LIMS2","STIP1","ST6GALNAC3","","","","STIP1","SHISA5","","","","","ST6GALNAC3","","MEF2D","","","","","","","","","","","","","","","","","","","","","","","","","","","UPK3B","SNX3","","","","ULBP2","","","","","LURAP1L","STAG1","MTFR1L","","","MAN2A1","SUSD6","NAP1L2","","","LINC00958","SIGMAR1","MERTK","",""
"LIN37","STOM","ST8SIA1","","","","STOM","SHISA9","","","","","ST8SIA1","","MEIS1","","","","","","","","","","","","","","","","","","","","","","","","","","","UPP1","SOCS2","","","","ULK4","","","","","LY75","STAG2","MTHFD1","","","MAN2A2","SV2A","NAPEPLD","","","LINC01138","SIM1","MESD","",""
"LINC00052","STON1","ST8SIA4","","","","STON1","SHLD2","","","","","ST8SIA4","","MEIS2","","","","","","","","","","","","","","","","","","","","","","","","","","","USP13","SORT1","","","","UPK1B","","","","","LY75-CD302","STARD10","MTHFSD","","","MAN2B1","SYAP1","NARF","","","LINC01145","SIRT2","METAP2","",""
"LINC00662","STRN4","STARD4","","","","STRN4","SHMT2","","","","","STARD4","","MELK","","","","","","","","","","","","","","","","","","","","","","","","","","","USP33","SOWAHB","","","","UPK3B","","","","","LYN","STARD3","MTIF2","","","MANBA","SYBU","NASP","","","LINC01278","SKP1","METTL14","",""
"LINC00665","STT3B","STC2","","","","STT3B","SHQ1","","","","","STC2","","MEN1","","","","","","","","","","","","","","","","","","","","","","","","","","","USP46","SPACA6","","","","UQCR10","","","","","LYPD6B","STARD4","MTMR14","","","MANBAL","SYF2","NAV1","","","LINC02035","SLC11A2","METTL22","",""
"LINC00869","STX11","STEAP3","","","","STX11","SIAH2","","","","","STEAP3","","MEOX1","","","","","","","","","","","","","","","","","","","","","","","","","","","USP5","SPATA13","","","","URGCP","","","","","LYRM2","STAT2","MTX3","","","MANEA","SYNCRIP","NAV3","","","LINC02303","SLC12A2-DT","METTL4","",""
"LINC00958","STX16","STIM1","","","","STX16","SIGIRR","","","","","STIM1","","MERTK","","","","","","","","","","","","","","","","","","","","","","","","","","","UTRN","SPATS2","","","","USP11","","","","","LZTS3","STAT5A","MUS81","","","MAOA","SYNE3","NAXD","","","LINC02864","SLC12A8","METTL5","",""
"LINC01138","STXBP4","STIP1","","","","STXBP4","SIGMAR1","","","","","STIP1","","MESD","","","","","","","","","","","","","","","","","","","","","","","","","","","VAV3","SPCS2","","","","USP13","","","","","MACROD1","STEAP4","MUTYH","","","MAP1B","SYNGAP1","NBPF11","","","LINC02901","SLC16A1-AS1","METTL6","",""
"LINC01145","STXBP6","STK24","","","","STXBP6","SIM1","","","","","STK24","","METAP2","","","","","","","","","","","","","","","","","","","","","","","","","","","VEPH1","SPEN-AS1","","","","USP16","","","","","MAD2L1","STIM1","MVD","","","MAP1LC3B","SYT7","NBPF12","","","LINC02944","SLC18B1","METTL8","",""
"LINC01278","SUB1","STMN1","","","","SUB1","SIRT2","","","","","STMN1","","METTL14","","","","","","","","","","","","","","","","","","","","","","","","","","","VGLL3","SPIN3","","","","USP32P1","","","","","MAFF","STIP1","MVK","","","MAP2K2","SYTL1","NBPF15","","","LINGO2","SLC1A4","MFAP1","",""
"LINC02035","SUCLG1","STON1","","","","SUCLG1","SKP1","","","","","STON1","","METTL22","","","","","","","","","","","","","","","","","","","","","","","","","","","VHL","SPOCK1","","","","USP33","","","","","MAL","STOM","MXD1","","","MAP3K13","SYVN1","NBR2","","","LIPH","SLC1A5","MFN1","",""
"LINC02303","SUGT1","STRN4","","","","SUGT1","SLC11A2","","","","","STRN4","","METTL4","","","","","","","","","","","","","","","","","","","","","","","","","","","VIPR1","SPRY4","","","","UTP18","","","","","MAL2","STON1","MXD3","","","MAP3K2","SZT2","NCAM1","","","LITATS1","SLC23A2","MFSD1","",""
"LINC02864","SULF1","STT3B","","","","SULF1","SLC12A2-DT","","","","","STT3B","","METTL5","","","","","","","","","","","","","","","","","","","","","","","","","","","VOPP1","SPSB1","","","","UTP20","","","","","MALAT1","STRN4","MXD4","","","MAP7D3","TACC3","NCAPD2","","","LIX1","SLC25A34","MFSD14A","",""
"LINC02901","SUN2","STX16","","","","SUN2","SLC12A8","","","","","STX16","","METTL6","","","","","","","","","","","","","","","","","","","","","","","","","","","VPS11","SPSB3","","","","VANGL2","","","","","MALSU1","STT3B","MXI1","","","MAPK1","TAF9B","NCAPD3","","","LMCD1","SLC31A1","MFSD5","",""
"LINC02944","SUPT7L","STXBP4","","","","SUPT7L","SLC16A1-AS1","","","","","STXBP4","","METTL8","","","","","","","","","","","","","","","","","","","","","","","","","","","VPS13C","SPTLC3","","","","VDAC1","","","","","MAMDC2","STX11","MYB","","","MAPK8IP3","TAGLN2","NCAPG","","","LMNA","SLC35C2","MGAT2","",""
"LINGO2","SURF4","STXBP6","","","","SURF4","SLC18B1","","","","","STXBP6","","MFAP1","","","","","","","","","","","","","","","","","","","","","","","","","","","VPS37A","SQSTM1","","","","VEPH1","","","","","MAN2A1","STX16","MYC","","","MAPKAPK5","TANC2","NCAPG2","","","LMNB1","SLC35E1","MGAT3","",""
"LIPH","SUSD6","SUB1","","","","SUSD6","SLC1A4","","","","","SUB1","","MFN1","","","","","","","","","","","","","","","","","","","","","","","","","","","VPS39","SRCIN1","","","","VGLL3","","","","","MAN2A2","STX7","MYCBP","","","MAPRE1","TAP1","NCAPH","","","LMNB2","SLC35F6","MGAT5B","",""
"LITATS1","SV2A","SUCLG1","","","","SV2A","SLC1A5","","","","","SUCLG1","","MFSD1","","","","","","","","","","","","","","","","","","","","","","","","","","","WAC","SRGAP1","","","","VIPR1","","","","","MAN2B1","STXBP4","MYCL","","","MARCHF6-DT","TBC1D22A","NCF2","","","LMO3","SLC38A9","MGLL","",""
"LIX1","SYAP1","SUN2","","","","SYAP1","SLC23A2","","","","","SUN2","","MFSD14A","","","","","","","","","","","","","","","","","","","","","","","","","","","WARS2-AS1","SRP54","","","","VPS11","","","","","MANBA","STXBP6","MYEOV","","","MARCKSL1","TBC1D7","NCKAP1","","","LMO7","SLC3A2","MGST1","",""
"LMCD1","SYBU","SURF4","","","","SYBU","SLC25A34","","","","","SURF4","","MFSD5","","","","","","","","","","","","","","","","","","","","","","","","","","","WASH2P","SRPK2","","","","VPS13C","","","","","MANBAL","SUB1","MYH10","","","MARF1","TBCA","NCOA2","","","LNP1","SLC41A1","MGST2","",""
"LMNA","SYNCRIP","SYAP1","","","","SYNCRIP","SLC31A1","","","","","SYAP1","","MGAT2","","","","","","","","","","","","","","","","","","","","","","","","","","","WASHC1","SRPRA","","","","VPS35","","","","","MANEA","SUCLG1","MYL6","","","MARK1","TBCB","NCOA4","","","LOC100996643","SLC43A1","MIA2","",""
"LMNB1","SYNE3","SYBU","","","","SYNE3","SLC35C2","","","","","SYBU","","MGAT3","","","","","","","","","","","","","","","","","","","","","","","","","","","WASHC4","SRRM1","","","","VPS39","","","","","MAOA","SUGT1","MYO18A","","","MARK3","TBRG1","NCOA5","","","LOC102723475","SLC4A1AP","MIB2","",""
"LMNB2","SYNGAP1","SYK","","","","SYNGAP1","SLC35E1","","","","","SYK","","MGAT5B","","","","","","","","","","","","","","","","","","","","","","","","","","","WASHC5","SRSF6","","","","VWDE","","","","","MAP1B","SULF1","MYO1D","","","MARK4","TCEA1","NCOR2","","","LOC102724250","SLC4A8","MICAL2","",""
"LMO3","SYT7","SYNC","","","","SYT7","SLC35F6","","","","","SYNC","","MGLL","","","","","","","","","","","","","","","","","","","","","","","","","","","WBP11","SSBP3","","","","WASHC1","","","","","MAP1LC3B","SUN2","MYO3B","","","MARS1","TCIRG1","ND3","","","LOC103344931","SLC6A11","MICALL1","",""
"LMO7","SYTL1","SYNCRIP","","","","SYTL1","SLC38A9","","","","","SYNCRIP","","MGST1","","","","","","","","","","","","","","","","","","","","","","","","","","","WDR1","SSH2","","","","WASHC4","","","","","MAP2K2","SUPT7L","MYRF","","","MAST2","TCTN3","ND4L","","","LOC107984948","SLC6A15","MID1","",""
"LNP1","SYVN1","SYNE1","","","","SYVN1","SLC3A2","","","","","SYNE1","","MGST2","","","","","","","","","","","","","","","","","","","","","","","","","","","WDR11","ST13","","","","WASHC5","","","","","MAP3K13","SURF4","MZT1","","","MAT2B","TDP2","ND5","","","LOC107986954","SLC6A9","MID1IP1","",""
"LOC100996643","SZT2","SYNE3","","","","SZT2","SLC41A1","","","","","SYNE3","","MIA2","","","","","","","","","","","","","","","","","","","","","","","","","","","WDR26","ST14","","","","WDR1","","","","","MAP3K2","SUSD6","NAA15","","","MATR3","TENM3","ND6","","","LOC122319436","SLC7A1","MID2","",""
"LOC102723475","TACC2","SYT7","","","","TACC2","SLC43A1","","","","","SYT7","","MIB2","","","","","","","","","","","","","","","","","","","","","","","","","","","WDR27","ST6GAL2","","","","WDR11","","","","","MAP7D3","SV2A","NAA16","","","MAX","TENT4B","NDC1","","","LOC124900275","SLC7A5","MIIP","",""
"LOC102724250","TACC3","SYTL1","","","","TACC3","SLC4A1AP","","","","","SYTL1","","MICAL2","","","","","","","","","","","","","","","","","","","","","","","","","","","WDR33","ST6GALNAC3","","","","WDR24","","","","","MAPK1","SYAP1","NAA40","","","MBD1","TERF1","NDC80","","","LOC124902947","SLC9A1","MINDY2","",""
"LOC103344931","TAF9B","SZT2","","","","TAF9B","SLC4A8","","","","","SZT2","","MICALL1","","","","","","","","","","","","","","","","","","","","","","","","","","","WDR54","ST8SIA1","","","","WDR26","","","","","MAPK8IP3","SYBU","NADK","","","MBD2","TEX10","NDE1","","","LOC128125822","SLIRP","MIR1915HG","",""
"LOC107984948","TAGLN2","TAB3","","","","TAGLN2","SLC6A11","","","","","TAB3","","MID1","","","","","","","","","","","","","","","","","","","","","","","","","","","WIPF1","STAMBP","","","","WDR27","","","","","MAPKAPK5","SYF2","NADK2","","","MBD6","TFAP2A","NDP","","","LOC284798","SMARCD3","MIR22HG","",""
"LOC107986954","TANC2","TACC1","","","","TANC2","SLC6A15","","","","","TACC1","","MID1IP1","","","","","","","","","","","","","","","","","","","","","","","","","","","WNK1","STARD13","","","","WDR54","","","","","MAPRE1","SYNCRIP","NAMPT","","","MBLAC1","TFE3","NDRG1","","","LOC442041","SMARCE1","MIR99AHG","",""
"LOC122319436","TAP1","TACC2","","","","TAP1","SLC6A9","","","","","TACC2","","MID2","","","","","","","","","","","","","","","","","","","","","","","","","","","WNT5A","STARD3NL","","","","WDTC1","","","","","MARCHF6-DT","SYNE3","NAP1L2","","","MBNL1","TFG","NDRG2","","","LOC652276","SMC3","MIS18BP1","",""
"LOC124900275","TARDBP","TACC3","","","","TARDBP","SLC7A1","","","","","TACC3","","MIIP","","","","","","","","","","","","","","","","","","","","","","","","","","","WRAP53","STARD5","","","","WIPF1","","","","","MARCKSL1","SYNGAP1","NAPEPLD","","","MBOAT1","TFIP11","NDRG3","","","LONP1","SMC4","MKI67","",""
"LOC124902947","TBC1D7","TAF9B","","","","TBC1D7","SLC7A11","","","","","TAF9B","","MINDY2","","","","","","","","","","","","","","","","","","","","","","","","","","","WSB1","STEAP3","","","","WNK1","","","","","MARF1","SYT7","NARF","","","MCAM","TGFB1","NDST1","","","LONRF1","SMIM10L1","MKNK2","",""
"LOC128125822","TBCA","TAGLN2","","","","TBCA","SLC7A5","","","","","TAGLN2","","MIR1915HG","","","","","","","","","","","","","","","","","","","","","","","","","","","WSB2","STIL","","","","WNT5A","","","","","MARK1","SYTL1","NASP","","","MCRS1","TGFB2-OT1","NDUFA4L2","","","LONRF2","SMS","MKX","",""
"LOC284798","TBCB","TANC2","","","","TBCB","SLC9A1","","","","","TANC2","","MIR22HG","","","","","","","","","","","","","","","","","","","","","","","","","","","WSCD2","STIM2","","","","WSB2","","","","","MARK3","SYVN1","NAV1","","","MCTS1","TGOLN2","NDUFA5","","","LONRF3","SMTN","MLEC","",""
"LOC442041","TBRG1","TARDBP","","","","TBRG1","SLIRP","","","","","TARDBP","","MIR99AHG","","","","","","","","","","","","","","","","","","","","","","","","","","","WT1-AS","STK19","","","","WTIP","","","","","MARK4","SZT2","NAV3","","","MDH1","THAP10","NDUFA8","","","LOXL1","SNAPIN","MLLT3","",""
"LOC652276","TCEA1","TBL1XR1","","","","TCEA1","SMARCD3","","","","","TBL1XR1","","MIS18BP1","","","","","","","","","","","","","","","","","","","","","","","","","","","WTIP","STK24","","","","WWC3","","","","","MARS1","TACC3","NAXD","","","MDM4","THBS1","NDUFA9","","","LPCAT2","SNHG20","MMACHC","",""
"LONP1","TCP1","TBRG1","","","","TCP1","SMARCE1","","","","","TBRG1","","MKI67","","","","","","","","","","","","","","","","","","","","","","","","","","","XIAP","STK32C","","","","WWP1","","","","","MAST2","TAF9B","NBPF11","","","MECOM","THG1L","NDUFB3","","","LPCAT3","SNHG29","MOB3B","",""
"LONRF1","TCTN3","TCEA1","","","","TCTN3","SMC3","","","","","TCEA1","","MKNK2","","","","","","","","","","","","","","","","","","","","","","","","","","","XPO5","STK40","","","","XRCC3","","","","","MAT2B","TAGLN2","NBPF12","","","MED1","THOC1","NDUFB4","","","LPGAT1","SNHG32","MOB4","",""
"LONRF2","TENM3","TCEAL8","","","","TENM3","SMC4","","","","","TCEAL8","","MKX","","","","","","","","","","","","","","","","","","","","","","","","","","","YIPF2","STMN1","","","","XRCC4","","","","","MATR3","TANC2","NBPF15","","","MED11","THOC7","NDUFB5","","","LPIN1","SNPH","MOCOS","",""
"LONRF3","TENT4B","TCERG1","","","","TENT4B","SMIM10L1","","","","","TCERG1","","MLEC","","","","","","","","","","","","","","","","","","","","","","","","","","","YTHDC1","STPG1","","","","YARS2","","","","","MAX","TAP1","NBR2","","","MED18","TIMELESS","NDUFB6","","","LPXN","SNRNP25","MORC4","",""
"LOXL1","TERF1","TCF12","","","","TERF1","SMS","","","","","TCF12","","MLLT3","","","","","","","","","","","","","","","","","","","","","","","","","","","YTHDC2","SUFU","","","","YIPF2","","","","","MBD1","TARDBP","NCAM1","","","MED23","TIMM13","NDUFV2","","","LRATD2","SNRNP35","MORF4L1","",""
"LPCAT2","TEX10","TCP1","","","","TEX10","SMTN","","","","","TCP1","","MMACHC","","","","","","","","","","","","","","","","","","","","","","","","","","","YWHAH","SUMF2","","","","YTHDC1","","","","","MBD2","TBC1D22A","NCAPD2","","","MED28","TIMM17A","NECTIN3","","","LRIF1","SNRNP70","MORF4L2","",""
